Anio,Ciudad,TemperaturaPromedio
1995,"Muscat",90.75
2010,"Nicosia",90.10
2020,"Niamey",87.57
2019,"Niamey",86.74
2010,"Niamey",86.74
2016,"Niamey",86.58
2018,"Niamey",86.53
2009,"Niamey",86.52
2013,"Niamey",86.50
2011,"Niamey",86.44
2014,"Niamey",86.29
2005,"Niamey",86.11
1998,"Niamey",86.06
2012,"Niamey",86.02
1997,"Bangkok",85.99
2017,"Niamey",85.98
2007,"Niamey",85.94
2015,"Niamey",85.92
2006,"Niamey",85.88
1997,"Niamey",85.86
2004,"Niamey",85.79
1996,"Niamey",85.78
2003,"Niamey",85.74
2019,"Chennai (Madras)",85.55
2002,"Jakarta",85.47
2002,"Niamey",85.41
1995,"Niamey",85.40
2001,"Niamey",85.14
2006,"Bangkok",85.14
2000,"Niamey",85.14
1999,"Niamey",85.13
2005,"Bangkok",85.06
2018,"Chennai (Madras)",84.90
2008,"Niamey",84.84
2004,"Jakarta",84.78
2017,"Chennai (Madras)",84.76
2002,"Bangkok",84.73
2004,"Bangkok",84.70
2006,"Jakarta",84.52
2003,"Bangkok",84.49
2003,"Jakarta",84.45
2016,"Chennai (Madras)",84.42
1996,"Bangkok",84.32
1998,"Bissau",84.30
2009,"Chennai (Madras)",84.29
2007,"Bangkok",84.24
2020,"Bissau",84.22
2010,"Bangkok",84.15
2020,"Lome",84.14
2015,"Chennai (Madras)",84.10
2005,"Jakarta",84.08
2019,"Jakarta",84.02
1998,"Chennai (Madras)",84.01
2007,"Bissau",83.99
1998,"Kuala Lumpur",83.92
2020,"Lagos",83.92
2012,"Chennai (Madras)",83.89
2020,"Conakry",83.89
2008,"Bissau",83.85
1998,"Bangkok",83.84
2020,"Manila",83.82
2020,"Cotonou",83.81
2020,"Kuala Lumpur",83.81
2018,"Bombay (Mumbai)",83.75
2012,"Jakarta",83.67
1995,"Bissau",83.66
2016,"Manila",83.66
1998,"Conakry",83.63
2015,"Bombay (Mumbai)",83.61
2020,"Abidjan",83.61
2016,"Jakarta",83.58
2009,"Jakarta",83.58
2018,"Jakarta",83.57
2011,"Jakarta",83.56
2017,"Jakarta",83.49
2019,"Manila",83.48
2014,"Jakarta",83.47
2016,"Kuala Lumpur",83.46
2003,"Chennai (Madras)",83.45
2020,"Chennai (Madras)",83.44
2014,"Chennai (Madras)",83.44
2010,"Kuala Lumpur",83.43
1997,"Bissau",83.41
2017,"Bombay (Mumbai)",83.40
1997,"Chennai (Madras)",83.38
2015,"Jakarta",83.36
2019,"Singapore",83.32
2018,"Manama",83.30
2016,"Singapore",83.30
2010,"Jakarta",83.28
2010,"Manila",83.28
2010,"Rangoon",83.26
2007,"Jakarta",83.26
1999,"Chennai (Madras)",83.25
2002,"Chennai (Madras)",83.25
2001,"Chennai (Madras)",83.21
2009,"Bangkok",83.21
2008,"Bangkok",83.19
2013,"Jakarta",83.19
2020,"Jakarta",83.18
1998,"Manila",83.18
1996,"Bissau",83.16
2020,"Colombo",83.15
2008,"Jakarta",83.14
1998,"Vientiane",83.13
1998,"Singapore",83.12
2017,"Manila",83.10
1998,"Jakarta",83.10
2005,"Kuala Lumpur",83.10
1998,"Rangoon",83.08
2018,"Manila",83.08
2011,"Kuala Lumpur",83.07
2020,"Singapore",83.06
2000,"Jakarta",83.03
2015,"Manila",83.01
2009,"Bombay (Mumbai)",83.00
2000,"Chennai (Madras)",82.98
2012,"Kuala Lumpur",82.98
2015,"Singapore",82.97
2019,"Kuala Lumpur",82.97
2006,"Chennai (Madras)",82.96
2019,"Manama",82.96
2013,"Chennai (Madras)",82.96
1997,"Singapore",82.96
2011,"Chennai (Madras)",82.94
2006,"Lagos",82.94
1995,"Freetown",82.94
2010,"Manama",82.93
2010,"Chennai (Madras)",82.92
2019,"Bombay (Mumbai)",82.85
2016,"Bombay (Mumbai)",82.83
1998,"Colombo",82.82
2010,"Conakry",82.81
2020,"Libreville",82.79
2011,"Bangkok",82.78
2013,"Manila",82.76
2014,"Bombay (Mumbai)",82.75
2015,"Kuala Lumpur",82.74
2005,"Chennai (Madras)",82.73
2001,"Jakarta",82.73
2010,"Bissau",82.73
2002,"Kuala Lumpur",82.71
2010,"Bombay (Mumbai)",82.69
2010,"Singapore",82.68
2001,"Bangkok",82.65
2018,"Kuwait",82.64
2017,"Manama",82.64
1995,"Chennai (Madras)",82.63
2015,"Manama",82.62
1996,"Chennai (Madras)",82.61
2002,"Singapore",82.61
2009,"Bissau",82.59
1997,"Jakarta",82.59
2005,"Lagos",82.58
2011,"Conakry",82.58
2006,"Bissau",82.58
2014,"Manila",82.57
2007,"Manila",82.57
2010,"Cotonou",82.56
2004,"Chennai (Madras)",82.55
2020,"Rangoon",82.55
1997,"Conakry",82.54
2005,"Singapore",82.51
2010,"Freetown",82.51
1999,"Jakarta",82.48
2007,"Bombay (Mumbai)",82.46
2017,"Rangoon",82.45
2016,"Rangoon",82.44
2014,"Kuala Lumpur",82.43
1997,"Freetown",82.41
2019,"Cotonou",82.41
2012,"Manila",82.41
1998,"Bujumbura",82.40
2005,"Rangoon",82.38
2020,"Bombay (Mumbai)",82.38
2016,"Colombo",82.38
2009,"Singapore",82.38
2014,"Singapore",82.36
2006,"Manila",82.36
2018,"Singapore",82.34
2013,"Kuala Lumpur",82.34
2010,"Kuwait",82.33
2001,"Manila",82.32
1995,"Jakarta",82.31
2008,"Chennai (Madras)",82.31
2000,"Bangkok",82.30
1998,"Cotonou",82.30
1999,"Manama",82.30
2011,"Bombay (Mumbai)",82.28
2019,"Lome",82.28
2017,"Kuala Lumpur",82.26
2000,"Karachi",82.25
2012,"Rangoon",82.24
2004,"Singapore",82.24
2008,"Conakry",82.24
2009,"Rangoon",82.23
2018,"Cotonou",82.21
1998,"Manama",82.20
2006,"Rangoon",82.20
2016,"Cotonou",82.18
2005,"Manila",82.17
2016,"Lome",82.17
2000,"Lagos",82.16
2017,"Cotonou",82.15
2003,"Kuala Lumpur",82.15
2019,"Rangoon",82.15
2016,"Manama",82.13
1998,"Lagos",82.09
2004,"Kuala Lumpur",82.09
2002,"Bombay (Mumbai)",82.09
2006,"Cotonou",82.09
2003,"Singapore",82.08
2014,"Manama",82.07
2004,"Manila",82.06
2005,"Freetown",82.06
2003,"Manila",82.05
2002,"Manila",82.05
2012,"Vientiane",82.05
1998,"Lome",82.05
2005,"Conakry",82.05
2006,"Singapore",82.04
1995,"Vientiane",82.03
2018,"Kuala Lumpur",82.01
1998,"Bombay (Mumbai)",82.01
2019,"Bissau",81.99
2017,"Singapore",81.99
2007,"Chennai (Madras)",81.99
2017,"Lome",81.99
2010,"Lome",81.99
2001,"Kuala Lumpur",81.98
2008,"Bombay (Mumbai)",81.98
1997,"Kuala Lumpur",81.97
2013,"Bissau",81.96
2008,"Freetown",81.96
2010,"Vientiane",81.95
2018,"Rangoon",81.95
2008,"Manila",81.95
2002,"Rangoon",81.95
2004,"Conakry",81.93
2013,"Singapore",81.92
2006,"Freetown",81.92
2016,"Bissau",81.91
2009,"Kuala Lumpur",81.91
2016,"Lagos",81.91
2000,"Manila",81.90
2017,"Bissau",81.90
2000,"Cotonou",81.90
1996,"Jakarta",81.89
2018,"Lome",81.89
2002,"Freetown",81.88
2006,"Conakry",81.87
2004,"Freetown",81.86
1995,"Colombo",81.85
2003,"Cotonou",81.84
2019,"Colombo",81.84
2011,"Manila",81.83
2011,"Bissau",81.82
2015,"Rangoon",81.81
2014,"Bissau",81.80
1997,"Bombay (Mumbai)",81.79
1997,"Manila",81.79
2000,"Kuala Lumpur",81.78
1999,"Bombay (Mumbai)",81.77
2006,"Lome",81.77
1995,"Singapore",81.76
1997,"Rangoon",81.76
2011,"Singapore",81.75
1996,"Bombay (Mumbai)",81.75
2002,"Conakry",81.74
2013,"Bombay (Mumbai)",81.74
2004,"Rangoon",81.72
2003,"Rangoon",81.72
2019,"Vientiane",81.71
2000,"Bombay (Mumbai)",81.71
2001,"Singapore",81.71
2012,"Singapore",81.71
1999,"Bangkok",81.71
2007,"Conakry",81.70
2012,"Bombay (Mumbai)",81.70
2015,"Lome",81.69
2012,"Manama",81.68
1995,"Cotonou",81.68
2017,"Colombo",81.67
2017,"Kuwait",81.67
2019,"Conakry",81.67
2009,"Manila",81.67
2007,"Singapore",81.66
2006,"Kuala Lumpur",81.66
2020,"Dar Es Salaam",81.65
2007,"Rangoon",81.65
1996,"Singapore",81.64
2015,"Kuwait",81.63
1995,"Conakry",81.63
2014,"Cotonou",81.63
2013,"Rangoon",81.61
2015,"Vientiane",81.61
2013,"Cotonou",81.60
1999,"Singapore",81.60
2015,"Colombo",81.60
1999,"Conakry",81.60
2009,"Conakry",81.60
2019,"Kuwait",81.59
2000,"Singapore",81.57
2005,"Cotonou",81.57
2011,"Rangoon",81.57
2020,"Vientiane",81.57
2015,"Bissau",81.57
2010,"Colombo",81.56
2008,"Singapore",81.56
2015,"Cotonou",81.56
2016,"Vientiane",81.56
2018,"Lagos",81.56
1996,"Kuala Lumpur",81.56
1995,"Kuala Lumpur",81.55
